Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL MIRADOR;12/6/2014;12;6;2014;3:40;3;40;0;Homicidios;42;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;JUAN MONTALVO;11/6/2014;11;6;2014;14:40;14;40;0;Asesinatos;35;FEMENINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;PARAISO LA FLOR;12/6/2014;12;6;2014;18:30;18;30;0;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
ZONA 5;SANTA_ELENA;SANTA_ELENA;SANTA ELENA;MONTAÑITA;12/6/2014;12;6;2014;12:30;12;30;0;Homicidios;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;12/6/2014;12;6;2014;19:00;19;0;0;Asesinatos;37;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;12/6/2014;12;6;2014;22:30;22;30;0;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;13/6/2014;13;6;2014;17:36;17;36;0;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 3;CHIMBORAZO;GUANO;GUANO;GUANO;14/6/2014;14;6;2014;8:00;8;0;0;Asesinatos;24;FEMENINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUBE;13/6/2014;13;6;2014;23:30;23;30;0;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;SANTA_ANA;24 DE MAYO;SAN PABLO DE PUEBLO NUEVO;14/6/2014;14;6;2014;20:30;20;30;0;Homicidios;34;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;QUITUMBE;CHILLOGALLO;14/6/2014;14;6;2014;11:40;11;40;0;Homicidios;22;MASCULINO;SOLTERO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;BELLAVISTA;14/6/2014;14;6;2014;17:30;17;30;0;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;GUACHARACA;14/6/2014;14;6;2014;23:45;23;45;0;Asesinatos;32;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;QUITUMBE;LAS CUADRAS;15/6/2014;15;6;2014;5:00;5;0;0;Homicidios;29;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;14/6/2014;14;6;2014;23:00;23;0;0;Asesinatos;18;MASCULINO;UNION LIBRE;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUBE;15/6/2014;15;6;2014;11:40;11;40;0;Asesinatos;49;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;15/6/2014;15;6;2014;19:40;19;40;0;Asesinatos;44;MASCULINO;DIVORCIADO;ECUADOR
ZONA 1;ESMERALDAS;SAN_LORENZO;SAN LORENZO;FRONTERA;15/6/2014;15;6;2014;15:00;15;0;0;Homicidios;55;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CORDERO CRESPO;15/6/2014;15;6;2014;22:30;22;30;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;VINCES SUR;16/6/2014;16;6;2014;3:40;3;40;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;MALVINAS NORTE;16/6/2014;16;6;2014;1:00;1;0;0;Asesinatos;37;MASCULINO;SOLTERO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN PEDRO;4/5/2014;4;5;2014;20:00;20;0;0;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;ANTONIO SOTOMAYOR;16/6/2014;16;6;2014;14:00;14;0;0;Asesinatos;41;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;UNIVERSIDAD;26/5/2014;26;5;2014;12:15;12;15;0;Homicidios;45;MASCULINO;CASADO;ECUADOR
ZONA 5;GUAYAS;EL_EMPALME;EL EMPALME;PUERTO DEL MONO;15/6/2014;15;6;2014;3:00;3;0;0;Homicidios;33;FEMENINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;BOMBOLI;3/6/2014;3;6;2014;20:30;20;30;0;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;11/4/2014;11;4;2014;11:00;11;0;0;Asesinatos;59;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL CONDADO;16/6/2014;16;6;2014;20:00;20;0;0;Homicidios;27;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ELOY_ALFARO;ELOY ALFARO;BORBON;18/6/2014;18;6;2014;23:00;23;0;0;Asesinatos;50;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;COTOCOLLAO;19/6/2014;19;6;2014;13:00;13;0;0;Homicidios;43;MASCULINO;CASADO;ECUADOR
ZONA 5;GUAYAS;SAN_JACINTO_DE_YAGUACHI;YAGUACHI;YAGUACHI SUR;20/6/2014;20;6;2014;4:00;4;0;0;Asesinatos;46;FEMENINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;LA SEXTA;20/6/2014;20;6;2014;21:00;21;0;0;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;ORQUIDEAS;21/6/2014;21;6;2014;2:00;2;0;0;Asesinatos;19;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;SAN_JACINTO_DE_BUENA_FE;BUENA FE;BUENA FE OESTE;21/6/2014;21;6;2014;9:40;9;40;0;Homicidios;33;MASCULINO;SOLTERO;ECUADOR
ZONA 7;LOJA;CATAMAYO;CATAMAYO;CATAMAYO NORTE;21/6/2014;21;6;2014;12:30;12;30;0;Homicidios;34;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;21/6/2014;21;6;2014;20:00;20;0;0;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;BARRIO NUEVO;22/6/2014;22;6;2014;1:45;1;45;0;Homicidios;31;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;ALFREDO_BAQUERIZO_MORENO_(_JUJAN_);JUJAN SIMON BOLIVAR;JUJAN OESTE;20/6/2014;20;6;2014;20:00;20;0;0;Asesinatos;49;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;NUEVA PROSPERINA;22/6/2014;22;6;2014;21:00;21;0;0;Homicidios;26;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;22/6/2014;22;6;2014;22:00;22;0;0;Homicidios;26;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;MONTALVO;BABAHOYO;MONTALVO;22/6/2014;22;6;2014;17:30;17;30;0;Asesinatos;67;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LOS CHILLOS;CONOCOTO NORTE;22/6/2014;22;6;2014;11:05;11;5;0;Homicidios;54;MASCULINO;CASADO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;NUEVO SUCUMBIOS;23/6/2014;23;6;2014;5:00;5;0;0;Asesinatos;37;MASCULINO;NO DETERMINADO;COLOMBIA
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;23/6/2014;23;6;2014;10:50;10;50;0;Asesinatos;43;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;ABDON CALDERON;24/6/2014;24;6;2014;15:00;15;0;0;Homicidios;13;MASCULINO;SOLTERO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA SUR;YANUNCAY;24/6/2014;24;6;2014;23:00;23;0;0;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;GENERAL_ANTONIO_ELIZALDE;EL TRIUNFO BUCAY;BUCAY;24/6/2014;24;6;2014;7:00;7;0;0;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;24/6/2014;24;6;2014;20:30;20;30;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;NARANJITO;NARANJITO MARCELINO MARIDUEÑA;NARANJITO SUR;24/6/2014;24;6;2014;19:00;19;0;0;Asesinatos;45;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;QUITUMBE;LAS CUADRAS;26/6/2014;26;6;2014;2:39;2;39;0;Homicidios;25;MASCULINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO ESTE;CENTRO;16/6/2014;16;6;2014;18:00;18;0;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;PUNA;23/6/2014;23;6;2014;17:30;17;30;0;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;TUMBACO;CUMBAYA SUR;27/6/2014;27;6;2014;2:39;2;39;0;Homicidios;35;MASCULINO;CASADO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MOLLETURO;26/6/2014;26;6;2014;16:00;16;0;0;Asesinatos;7;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;TENGUEL;20/6/2014;20;6;2014;19:30;19;30;0;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;FERROVIARIA;28/6/2014;28;6;2014;21:00;21;0;0;Homicidios;38;MASCULINO;CASADO;COLOMBIA
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA ESPERANZA;29/6/2014;29;6;2014;0:00;0;0;0;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 5;BOLIVAR;GUARANDA;GUARANDA;SAN LORENZO;28/6/2014;28;6;2014;23:00;23;0;0;Homicidios;71;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;DURAN;DURAN;LIGA CANTONAL;29/6/2014;29;6;2014;12:15;12;15;0;Homicidios;39;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;SAMBORONDON;SAMBORONDON;SAMBORONDON;29/6/2014;29;6;2014;19:15;19;15;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 5;BOLIVAR;CALUMA;SUBTROPICO;CALUMA;29/6/2014;29;6;2014;0:30;0;30;0;Homicidios;27;MASCULINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;IMANTAG;30/6/2014;30;6;2014;8:30;8;30;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;TAURA;30/6/2014;30;6;2014;9:00;9;0;0;Asesinatos;63;MASCULINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;BELLAVISTA NORTE;1/7/2014;1;7;2014;3:30;3;30;0;Asesinatos;35;FEMENINO;SOLTERO;COLOMBIA
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;28/6/2014;28;6;2014;7:50;7;50;0;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;ARGELIA;2/7/2014;2;7;2014;4:30;4;30;0;Homicidios;18;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;28/6/2014;28;6;2014;10:30;10;30;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;MUCHO LOTE;28/6/2014;28;6;2014;23:00;23;0;0;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;BELLAVISTA NORTE;2/7/2014;2;7;2014;12:00;12;0;0;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;EL_GUABO;PASAJE;BARBONES;2/7/2014;2;7;2014;6:10;6;10;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 2;NAPO;ARCHIDONA;TENA;ARCHIDONA;22/6/2014;22;6;2014;0:00;0;0;0;Asesinatos;5;FEMENINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;SHUSHUFINDI CENTRO;2/7/2014;2;7;2014;21:40;21;40;0;Femicidios;24;FEMENINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;3/7/2014;3;7;2014;3:20;3;20;0;Homicidios;32;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;ARENILLAS;HUAQUILLAS;LA LIBERTAD;14/6/2014;14;6;2014;22:20;22;20;0;Homicidios;32;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;LA FERROVIARIA;3/7/2014;3;7;2014;12:00;12;0;0;Asesinatos;29;MASCULINO;CASADO;ECUADOR
ZONA 2;NAPO;TENA;TENA;AEROPUERTO;3/7/2014;3;7;2014;16:15;16;15;0;Homicidios;26;MASCULINO;CASADO;ECUADOR
ZONA 2;PICHINCHA;MEJIA;RUMIÑAHUI - MEJIA;CUTUGLAGUA;5/7/2014;5;7;2014;15:30;15;30;0;Homicidios;41;FEMENINO;CASADO;COLOMBIA
ZONA 2;PICHINCHA;MEJIA;RUMIÑAHUI - MEJIA;CUTUGLAGUA;5/7/2014;5;7;2014;15:30;15;30;0;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;ANTONIO SOTOMAYOR;4/7/2014;4;7;2014;10:00;10;0;0;Asesinatos;83;MASCULINO;SOLTERO;ECUADOR
ZONA 2;PICHINCHA;RUMINAHUI;RUMIÑAHUI - MEJIA;SAN RAFAEL;5/7/2014;5;7;2014;20:00;20;0;0;Asesinatos;45;MASCULINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SANTA MARTHA;7/7/2014;7;7;2014;10:00;10;0;0;Homicidios;29;MASCULINO;UNION LIBRE;COLOMBIA
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA MERCED;7/7/2014;7;7;2014;13:30;13;30;0;Homicidios;19;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;SAN_LORENZO;SAN LORENZO;FRONTERA;7/7/2014;7;7;2014;20:40;20;40;0;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;CALDERON;SAN JUAN DE CALDERON;5/7/2014;5;7;2014;23:00;23;0;0;Homicidios;36;MASCULINO;CASADO;ECUADOR
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;8/7/2014;8;7;2014;13:00;13;0;0;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;8/7/2014;8;7;2014;13:30;13;30;0;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR
ZONA 1;CARCHI;BOLIVAR;MONTUFAR;BOLIVAR;8/7/2014;8;7;2014;23:59;23;59;0;Asesinatos;36;MASCULINO;CASADO;ECUADOR
ZONA 1;ESMERALDAS;RIO_VERDE;RIO VERDE;MONTALVO;12/7/2014;12;7;2014;0:04;0;4;0;Asesinatos;44;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;EL PLACER;11/7/2014;11;7;2014;20:00;20;0;0;Homicidios;17;MASCULINO;SOLTERO;ECUADOR
ZONA 5;BOLIVAR;CALUMA;SUBTROPICO;CALUMA;11/7/2014;11;7;2014;20:00;20;0;0;Asesinatos;54;MASCULINO;DIVORCIADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;SAN ANTONIO BAJO;12/7/2014;12;7;2014;0:00;0;0;0;Homicidios;21;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;BABA;BABAHOYO;BABA;13/7/2014;13;7;2014;0:15;0;15;0;Homicidios;27;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;DAULE;DAULE;DAULE CENTRO;13/7/2014;13;7;2014;4:00;4;0;0;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 2;PICHINCHA;RUMINAHUI;RUMIÑAHUI - MEJIA;SAN RAFAEL;13/7/2014;13;7;2014;3:00;3;0;0;Homicidios;29;MASCULINO;SOLTERO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN SEBASTIAN;28/6/2014;28;6;2014;16:00;16;0;0;Homicidios;50;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;CUBA;14/7/2014;14;7;2014;20:30;20;30;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;JUAN EULOGIO;11/7/2014;11;7;2014;15:30;15;30;0;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;QUITUMBE;QUITUMBE;15/7/2014;15;7;2014;12:00;12;0;0;Homicidios;19;FEMENINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;NUEVO SUCUMBIOS;28/2/2014;28;2;2014;22:30;22;30;0;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;PUTUMAYO;PUTUMAYO;PUERTO RODRIGUEZ;6/1/2014;6;1;2014;16:00;16;0;0;Asesinatos;36;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;15/7/2014;15;7;2014;19:30;19;30;0;Asesinatos;40;MASCULINO;DIVORCIADO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;GENERAL FARFAN;1/1/2014;1;1;2014;1:00;1;0;0;Asesinatos;80;MASCULINO;VIUDO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;PLAN DE VIVIENDA;17/7/2014;17;7;2014;0:05;0;5;0;Homicidios;34;FEMENINO;CASADO;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;LOS CEREZOS;16/7/2014;16;7;2014;22:00;22;0;0;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;SAMBORONDON;SAMBORONDON;TARIFA;17/7/2014;17;7;2014;20:45;20;45;0;Asesinatos;71;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;CALDERON;SAN JUAN DE CALDERON;6/7/2014;6;7;2014;12:00;12;0;0;Homicidios;54;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;18/7/2014;18;7;2014;17:00;17;0;0;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO OESTE;18/7/2014;18;7;2014;18:45;18;45;0;Sicariatos;19;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;MALVINAS SUR;18/7/2014;18;7;2014;19:00;19;0;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;PEDERNALES;PEDERNALES;BECHE;18/7/2014;18;7;2014;23:50;23;50;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO OESTE;18/7/2014;18;7;2014;21:15;21;15;0;Sicariatos;30;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;PIMOCHA;19/7/2014;19;7;2014;8:00;8;0;0;Homicidios;34;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA ESPERANZA;19/7/2014;19;7;2014;22:00;22;0;0;Homicidios;47;MASCULINO;CASADO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GUAYACAN;19/7/2014;19;7;2014;1:30;1;30;0;Asesinatos;31;MASCULINO;VIUDO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;EL CAMBIO;20/7/2014;20;7;2014;1:50;1;50;0;Asesinatos;34;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;COCHAPAMBA;20/7/2014;20;7;2014;4:30;4;30;0;Homicidios;34;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;EL ENO;25/4/2014;25;4;2014;12:00;12;0;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 3;TUNGURAHUA;AMBATO;AMBATO SUR;SIMON BOLIVAR;7/4/2014;7;4;2014;18:00;18;0;0;Asesinatos;31;FEMENINO;SOLTERO;ECUADOR
ZONA 3;TUNGURAHUA;AMBATO;AMBATO SUR;LETAMENDI;7/4/2014;7;4;2014;4:00;4;0;0;Asesinatos;13;MASCULINO;SOLTERO;ECUADOR
ZONA 3;COTOPAXI;LATACUNGA;LATACUNGA;LASSO;19/7/2014;19;7;2014;0:00;0;0;0;Homicidios;92;FEMENINO;VIUDO;ECUADOR
ZONA 4;MANABI;PICHINCHA;PICHINCHA;RIO VENDIDO;19/7/2014;19;7;2014;21:00;21;0;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;EL DORADO;29/4/2014;29;4;2014;23:30;23;30;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;EL DORADO;9/3/2014;9;3;2014;5:30;5;30;0;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;25/4/2014;25;4;2014;0:02;0;2;0;Homicidios;40;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;ANTEPARA;22/7/2014;22;7;2014;15:00;15;0;0;Asesinatos;45;MASCULINO;CASADO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;PARQUE ECOLOGICO;31/1/2014;31;1;2014;2:00;2;0;0;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;CUYABENO;PUTUMAYO;TARAPOA;26/3/2014;26;3;2014;1:00;1;0;0;Asesinatos;51;MASCULINO;UNION LIBRE;ECUADOR
ZONA 1;SUCUMBIOS;PUTUMAYO;PUTUMAYO;PALMA ROJA;20/1/2014;20;1;2014;19:00;19;0;0;Asesinatos;45;MASCULINO;NO DETERMINADO;COLOMBIA
ZONA 2;ORELLANA;PUERTO_FRANCISCO_DE_ORELLANA;ORELLANA LORETO;COCA ORIENTE;29/6/2014;29;6;2014;18:00;18;0;0;Homicidios;42;MASCULINO;DIVORCIADO;ECUADOR
ZONA 2;ORELLANA;PUERTO_FRANCISCO_DE_ORELLANA;ORELLANA LORETO;COCA OCCIDENTE;31/5/2014;31;5;2014;0:05;0;5;0;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;GENERAL FARFAN;4/1/2014;4;1;2014;12:35;12;35;0;Asesinatos;29;MASCULINO;NO DETERMINADO;COLOMBIA
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;EL DORADO;21/2/2014;21;2;2014;4:40;4;40;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN SEBASTIAN;27/6/2014;27;6;2014;21:00;21;0;0;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;21/4/2014;21;4;2014;21:30;21;30;0;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;21/4/2014;21;4;2014;21:30;21;30;0;Asesinatos;23;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;7/4/2014;7;4;2014;1:45;1;45;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN SEBASTIAN;23/6/2014;23;6;2014;8:30;8;30;0;Asesinatos;38;MASCULINO;CASADO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;SANTA CECILIA;21/4/2014;21;4;2014;21:30;21;30;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;23/7/2014;23;7;2014;8:00;8;0;0;Asesinatos;39;MASCULINO;SOLTERO;ECUADOR
ZONA 1;CARCHI;TULCAN;TULCAN;JULIO ANDRADE;1/1/2014;1;1;2014;3:00;3;0;0;Homicidios;34;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;ANTEPARA;23/7/2014;23;7;2014;22:30;22;30;0;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR
ZONA 1;CARCHI;TULCAN;TULCAN;KENNEDY;1/1/2014;1;1;2014;7:00;7;0;0;Homicidios;26;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;SHUSHUFINDI CENTRO;2/4/2014;2;4;2014;19:30;19;30;0;Homicidios;43;MASCULINO;CASADO;ECUADOR
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;GENERAL FARFAN;12/4/2014;12;4;2014;20:00;20;0;0;Asesinatos;41;MASCULINO;CASADO;ECUADOR
