Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 2;ORELLANA;PUERTO_FRANCISCO_DE_ORELLANA;ORELLANA LORETO;NUEVO PARAISO;26/1/2014;26;1;2014;5:00;5;0;0;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;ITCHIMBIA;7/5/2014;7;5;2014;17:45;17;45;0;Homicidios;59;MASCULINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;SAN JUAN;8/5/2014;8;5;2014;14:00;14;0;0;Homicidios;32;MASCULINO;SOLTERO;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;SHUSHUFINDI CENTRO;8/5/2014;8;5;2014;19:20;19;20;0;Homicidios;30;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CHILE;8/5/2014;8;5;2014;22:45;22;45;0;Homicidios;23;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA ROLDOS;8/5/2014;8;5;2014;23:00;23;0;0;Homicidios;19;FEMENINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;9/5/2014;9;5;2014;11:30;11;30;0;Asesinatos;27;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;GUACHARACA;10/5/2014;10;5;2014;2:30;2;30;0;Asesinatos;41;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;9/5/2014;9;5;2014;15:30;15;30;0;Asesinatos;20;FEMENINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MARTHA DE ROLDOS;9/5/2014;9;5;2014;15:30;15;30;0;Homicidios;3;FEMENINO;SOLTERO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MOLLETURO;10/5/2014;10;5;2014;3:00;3;0;0;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;MONTE SINAI;9/5/2014;9;5;2014;12:00;12;0;0;Homicidios;17;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;QUININDE;ROSA ZARATE;10/5/2014;10;5;2014;23:45;23;45;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;CHILIBULO;11/5/2014;11;5;2014;4:20;4;20;0;Homicidios;24;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;11/5/2014;11;5;2014;0:20;0;20;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO CENTRO;10/5/2014;10;5;2014;16:30;16;30;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;11/5/2014;11;5;2014;2:30;2;30;0;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;10/5/2014;10;5;2014;23:40;23;40;0;Asesinatos;35;MASCULINO;CASADO;ECUADOR
ZONA 5;SANTA_ELENA;SANTA_ELENA;SANTA ELENA;SANTA ELENA CENTRO;11/5/2014;11;5;2014;14:40;14;40;0;Homicidios;39;MASCULINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;SUBURBIO;11/5/2014;11;5;2014;12:30;12;30;0;Homicidios;30;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;7 LAGOS;11/5/2014;11;5;2014;23:16;23;16;0;Homicidios;19;MASCULINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;LA TOLITA;11/5/2014;11;5;2014;8:01;8;1;0;Asesinatos;42;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;BABA;BABAHOYO;BABA;12/5/2014;12;5;2014;22:30;22;30;0;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR
ZONA 2;NAPO;TENA;TENA;AHUANO;11/2/2014;11;2;2014;1:00;1;0;0;Asesinatos;77;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;MONJAS COLLACOTO;12/5/2014;12;5;2014;7:30;7;30;0;Homicidios;25;FEMENINO;CASADO;ECUADOR
ZONA 5;GUAYAS;SIMON_BOLIVAR;JUJAN SIMON BOLIVAR;LORENZO DE GARAICOA;12/5/2014;12;5;2014;7:30;7;30;0;Asesinatos;55;MASCULINO;SOLTERO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO ESTE;SANTA MARTHA SUR;13/5/2014;13;5;2014;23:50;23;50;0;Homicidios;52;FEMENINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;COLINAS DEL NORTE;15/5/2014;15;5;2014;12:10;12;10;0;Homicidios;21;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;15/5/2014;15;5;2014;11:30;11;30;0;Homicidios;23;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA MERCED;15/5/2014;15;5;2014;20:50;20;50;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;PALENQUE;VINCES;JAUNECHE;16/5/2014;16;5;2014;6:00;6;0;0;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;MILAGRO;MILAGRO;MARISCAL SUCRE;16/5/2014;16;5;2014;11:00;11;0;0;Asesinatos;42;FEMENINO;SOLTERO;ECUADOR
ZONA 3;TUNGURAHUA;AMBATO;AMBATO NORTE;LA MATRIZ;16/5/2014;16;5;2014;10:30;10;30;0;Asesinatos;26;FEMENINO;SOLTERO;ECUADOR
ZONA 1;ESMERALDAS;SAN_LORENZO;SAN LORENZO;CARONDELET;17/5/2014;17;5;2014;15:50;15;50;0;Asesinatos;34;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;PASAJE;PASAJE;BUENA VISTA;18/5/2014;18;5;2014;2:15;2;15;0;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;VINCES SUR;18/5/2014;18;5;2014;20:45;20;45;0;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;18/5/2014;18;5;2014;21:30;21;30;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;CARCELEN;18/5/2014;18;5;2014;4:00;4;0;0;Homicidios;24;FEMENINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;CARCELEN;19/5/2014;19;5;2014;4:00;4;0;0;Homicidios;35;FEMENINO;CASADO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;CARCELEN;18/5/2014;18;5;2014;4:00;4;0;0;Homicidios;8;FEMENINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;LA DELICIA;CARCELEN;18/5/2014;18;5;2014;4:00;4;0;0;Homicidios;5;FEMENINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;LA MARISCAL;18/5/2014;18;5;2014;12:30;12;30;0;Homicidios;20;MASCULINO;SOLTERO;ECUADOR
ZONA 6;CANAR;LA_TRONCAL;LA TRONCAL;TRONCAL CENTRO;22/1/2014;22;1;2014;1:00;1;0;0;Homicidios;25;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;19/5/2014;19;5;2014;14:40;14;40;0;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;LOS CEREZOS;20/5/2014;20;5;2014;4:45;4;45;0;Homicidios;62;MASCULINO;CASADO;ECUADOR
ZONA 3;TUNGURAHUA;AMBATO;AMBATO SUR;MIÑARICA;20/5/2014;20;5;2014;3:00;3;0;0;Asesinatos;62;FEMENINO;DIVORCIADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;20/5/2014;20;5;2014;22:30;22;30;0;Sicariatos;32;MASCULINO;SOLTERO;ECUADOR
